seed,generated_text
0,"Question:
Letf=-5-9.1。““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““"
1,"#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时长
#E学习时"
2,"Question:
Letk达200，时时提发金币的积领费，每500金币发1金币，积领费时加500金币时，价值价值。问积领费时加500金币时价值的积领费用为多少？当时价值是
A-500金币
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C-500金币
A-500
B-500
C"
3,"Question:
Letc（）是以数字为基的数字运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运运"
4,"Question:
Letx=4.8-1.8，最早于2008年。属于基础科学研究的科学研究方法之一。主要研究研究方法的学科，主要研究学科属于学科。最早以导研究法审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议审议"
5,"Question:
Letg=4.4-2.5。学科发展的发展途途是
A卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫"
6,"def将银行的数据转为数字可管理的数据
#导入导方
导导导
导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导导"
7,"# 2-（宜安地）宜安
国际联卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫卫"
8,"Question:
Letg=-3.5-1.1。获得的结果是
A
AA
AAA
A
AAA
A
A
A
AA
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A"
9,"Question:
Letd =-28.8-0.8.Let“““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““““"
