seed,generated_text
0,"Question: Which of the following is a feature of the virus??
A. Virus,??????
한화면드래�기?기기?드래?기?기?기?드래?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기?기"
1,"Question:Write a Python program to find the mean, the median, the??
?정수리스트에 정수리스트에서 순서대로 전구어보기한 리스트구조리어기구구분서기구구분어리트구어구구분내리구구분구구분순정리구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분구구분"
2,"Question: Which of the following is the main effect of aon??
A. 강구정신강희리
B. 강구정신강희리
C. 강구정신강희리
D. 강구정신강희리
Answer: A
설명하기어때한정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강구정신강희리,강"
3,"Question: A 32,??,????? is??
?기원?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동?동"
4,"Question:
Let a = 11.4 - 1.4. Let t = 12.0000111 + a. What is t rounded to 6 decimal치? (리포문어기까기한수)?
Answer:
0.000011<|end_of_text|>"
5,"Question:Develop a Python program, which calculates the tax, of a
정답?_계정비원내기정답?_계정비원기문구구비용정답?_계정비원기문구구비용구구비용정답?_계정비원기문구구비용구구비용정답?_계정비원기문구구비용구구비용구구비용정답?_계정비원기문구구비용구구비용구구비용구구비용정답?_계정비원기문구구비용구구비용구구비용구구비용구구비용구구비용정답?_계정비원기문구구비용구구비용구구비용구구비용구구비용구구비용정답?_계정비원기문구구비용구구비용구구비용구구비용구구비용구구비용정답?_계정비원기문구구비용구구비용구구비용구구비용구구비용구"
6,def find_일드해_정동원_계정구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정원구분정
7,"# 2차서기기기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기구조원
# 전기수열도
# 회문어화기구조원
# 주차순서도
# 구기"
8,"Question:Develop a Python program, which is a basic구구구단계계한기수계하구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구구"
9,"Question:
Calculate the common denominator of 1/4 and -1/22.
Answer:
88<|end_of_text|>"
10,Question: Which of the following is the best treatment for the in?구?어?아?기?구?기?구?구?기?구?구?구?기?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?구?
11,"Question: A 37,?????구간보도검사후,치원진동어어어안건비화검사,조기정진,정진동어어안정검사결조기검사결검어,구간보도검사결조기검사결검안기검사결검정진동어어안정검사결검정진동어어안건비화검사결검구간보도검사결검정진동어어안정검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비화검사결검정진동어어안건비"
12,"Question:
Let o = 1.5 + -0.4. Let f = 2.7 - o. Which is the closest to 0?  (a) -2/7  (b) f  (c) -1/3
Answer:
a<|end_of_text|>"
13,"Question: Which of the following is a virus?
A. Corona
B. Her어드래치기
한방개구기호기
조기기구기
수건기기구기
기구기구기기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기구기"
14,"Question: Which of the following is the commonest of the following??
A. N?치치균균화증, 이차기원균화증
B. 대포정기계열, 홍구진방구어열기, 설사고기균화기열, 간구술구어열기
C. 수두균기열, 순두동치기열, 설화기열, 설사기원균화기열, 설병열기, 설화기열기열, 신체내장전문한정복서열기, 신기원균화열기
D. 수정기열, 이차기원균화열, 설화기열, 설사치기열, 설구어열기, 설기원균화기열, 설정기열기열, 설병구어열기, 설기원균화기열, 설구어열기, 설기원균화기열, 설구어열기, 설기원균화기열, 설병구어열기, 설구어열기, 설기원균화기열, 설병구어열기, 설기원균화기열"
15,"Question:
Let y = -1.01 + 1.31. Let a = -0.5 + y. Let l = 1.2 - a. Which is the nearest to 0?  (a) l  (1) 1/2  (0.1)
Answer:
0.1<|end_of_text|>"
16,"Question: Which of the following is the best method of identifying the bacter성분??
원성분 전분분수분계계분분해계분조성분성분분계분내기
성분계분계분조성분계분분계진분계진화계진화진분계진계분진분계진화진화진분진화진분진분진진화진분진진진화진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진진"
17,"Question:
Let a = 0.019 - 0.023. Let h = a + 0.0201. What is h rounded to 3 decimal치? (단계어기하기 안�정기화하실세계기자기기왕하어구하니하세구니하노하건하구어하세니하동하실기하수하어주하심하걸하건하달하구한하동하건하해하구하기하심하건하심하건하구한하동하건하희하구한해하계하구함하설하동하해한구하구해하구하구하건하구하해하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하구하"
18,"Question:
Let y = 3.8 - 3.9. Let o = -2.8 + y. Let k = -1.5 + o. What is the nearest to 0.1?  (a) 0.2  (b) k  (c) 0.2
Answer:
a<|end_of_text|>"
19,Question:Develop a Java기계식구조구분기구현방문계기구구어하기법계기구구어기원조보스구기구구어한방계기구구기본서작전한방검수조사조동조차조동조차검조차검조차검조차기기구구어조차리장치조차리장치조차리장치조차리정구조직진조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동조동
20,"Question: Which of the following is a method of treatment of a 40 year, 1.3, 10,000?어래?병?환?증?치?수?하기?해?정??구?방?정?구?동?기?서?구?한?해?정?구?원?치?수?해?기?구?동?수?계?서?구?본?기?구?수?동?정?구?서?구?하?동?수?계?서?구?내?동?수?계?서?구?원?치?수?해?기?구?동?수?계?서?구?동?수?계?서?구?하?동?수?계?서?구?원?치?수?해?기?구?동?수?계?서?구?하?동?수?계?서?구?내?동?수?계?서?구?원?치?수?해?기?구?동?수?계?서?구?하?동?수?계?서"
21,"Question: Which of the following is the most common cause of acute,치질리,어지기환원인?정상인상구간계열환구내정신기계관정지구내정기관기계관구내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정기내정기정"
